Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.31042654028436,0.599963866843551
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.279620853080568,0.494322618427219
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.331753554502369,0.414473533977448
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.28909952606635,0.359540415460833
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.272511848341232,0.311177699805978
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.270142180094786,0.275062890493058
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.225118483412322,0.222707082947747
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.191943127962085,0.181813326814797
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.158767772511848,0.0927287147872676
Perez (2008),Water,0.1,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.563981042654028,0.83841352414733
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.329383886255924,0.64057556475754
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.272511848341232,0.53817535817383
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.296208530805687,0.458275408869962
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.308056872037914,0.401958807847183
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.291469194312796,0.351411316233105
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.279620853080568,0.31304493676777
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.24170616113744,0.256433293269219
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.199052132701421,0.110960150329468
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.170616113744075,0.0973694060841633
Perez (2008),Water,0.13,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.454976303317535,0.865277893370093
Perez (2008),Water,0.13,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.324644549763033,0.685509101241377
Perez (2008),Water,0.13,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.28909952606635,0.588532283377543
Perez (2008),Water,0.13,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.31042654028436,0.51011674160825
Perez (2008),Water,0.13,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.298578199052132,0.453277459931255
Perez (2008),Water,0.13,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.286729857819905,0.401081129554071
Perez (2008),Water,0.13,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.272511848341232,0.181594299583691
Perez (2008),Water,0.13,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.239336492890995,0.157255847978074
Perez (2008),Water,0.13,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.213270142180094,0.137712202402793
Perez (2008),Water,0.13,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.187203791469194,0.121480115705225
Perez (2008),Water,0.2,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.395734597156398,0.448054008286404
Perez (2008),Water,0.2,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.33649289099526,0.351828605182771
Perez (2008),Water,0.2,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.353080568720379,0.295366730925666
Perez (2008),Water,0.2,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.329383886255924,0.263345806381255
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.322274881516587,0.239243216330519
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.308056872037914,0.220378702545884
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.277251184834123,0.192035276013807
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.246445497630331,0.169168066329435
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.220379146919431,0.150106851570754
Perez (2008),Water,0.73,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.902843601895734,0.882236563118069
Perez (2008),Water,0.73,0.001,1000.0,Air,0.29,1.8e-05,1.224,0.038,0.0,0.072,0.81042654028436,0.803023780199982
Perez (2008),Water,0.73,0.001,1000.0,Air,0.44,1.8e-05,1.224,0.038,0.0,0.072,0.843601895734597,0.735123711400639
Perez (2008),Water,0.73,0.001,1000.0,Air,0.59,1.8e-05,1.224,0.038,0.0,0.072,0.748815165876777,0.679947399085495
Perez (2008),Water,0.73,0.001,1000.0,Air,0.73,1.8e-05,1.224,0.038,0.0,0.072,0.66824644549763,0.637025532850487
Perez (2008),Water,0.73,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.639810426540284,0.598088069763549
Perez (2008),Water,0.73,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.038,0.0,0.072,0.45260663507109,0.537993078737605
Perez (2008),Water,0.73,0.001,1000.0,Air,1.47,1.8e-05,1.224,0.038,0.0,0.072,0.616113744075829,0.49061422499256
Perez (2008),Water,0.73,0.001,1000.0,Air,2.2,1.8e-05,1.224,0.038,0.0,0.072,0.50473933649289,0.41237401923317
Perez (2008),Water,0.73,0.001,1000.0,Air,2.93,1.8e-05,1.224,0.038,0.0,0.072,0.43127962085308,0.363262187864924
Perez (2008),Water,0.04,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.756622516556291,0.736377774798433
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.276490066225165,0.384035302075475
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.193708609271523,0.302630340860747
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.271523178807946,0.257446981814155
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.301324503311258,0.232623320569293
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.309602649006622,0.214346575371267
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.306291390728476,0.414044043267087
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.183774834437086,0.172900429222012
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.127483443708609,0.112784565730246
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.102649006622516,0.0892924053224867
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.764900662251655,0.741565795365675
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.306291390728476,0.388950611468713
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.21523178807947,0.306280498064747
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.283112582781456,0.260208004555028
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.306291390728476,0.234837857420962
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.317880794701986,0.216128138459905
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.307947019867549,0.357475575051915
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.213576158940397,0.162415871098514
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.147350993377483,0.115872070789985
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.135761589403973,0.0933634607682907
Perez (2008),Water,0.06,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.768211920529801,0.746542248339894
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.317880794701986,0.393785550645066
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.245033112582781,0.309891501201148
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.312913907284768,0.262948022619736
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.314569536423841,0.237039351956053
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.319536423841059,0.217901484770893
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.311258278145695,0.304733871576239
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.22682119205298,0.158961019849051
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.158940397350993,0.11849958510833
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.132450331125827,0.0966629859218607
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.758278145695364,0.755909807628913
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.355960264900662,0.403222060425262
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.273178807947019,0.316998539129211
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.321192052980132,0.268365998645524
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.34933774834437,0.241403674157053
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.346026490066225,0.221423754610101
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.34933774834437,0.244109975367291
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.245033112582781,0.157556186853172
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.19205298013245,0.122874054905162
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.162251655629139,0.101856997077528
Perez (2008),Water,0.1,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.788079470198675,0.764569937660551
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.374172185430463,0.412359704822861
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.288079470198675,0.323956311577015
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.331125827814569,0.273702781951312
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.355960264900662,0.245717193894869
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.34933774834437,0.224913834760364
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.331125827814569,0.243093360940671
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.258278145695364,0.158475227025068
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.205298013245033,0.126512398099235
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.172185430463576,0.105923991601167
Perez (2008),Water,0.13,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.821192052980132,0.776398270426518
Perez (2008),Water,0.13,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.432119205298013,0.425536077767237
Perez (2008),Water,0.13,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.322847682119205,0.334123228307036
Perez (2008),Water,0.13,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.389072847682119,0.281559678947378
Perez (2008),Water,0.13,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.385761589403973,0.25209415064927
Perez (2008),Water,0.13,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.365894039735099,0.230089563199746
Perez (2008),Water,0.13,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.350993377483443,0.248004917423507
Perez (2008),Water,0.13,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.286423841059602,0.189574382394797
Perez (2008),Water,0.13,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.233443708609271,0.155181142413526
Perez (2008),Water,0.13,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.20364238410596,0.131535428918752
Perez (2008),Water,0.2,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.774834437086092,0.799602033108164
Perez (2008),Water,0.2,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.458609271523178,0.454024610508863
Perez (2008),Water,0.2,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,5.0,0.072,0.359271523178807,0.356662630617876
Perez (2008),Water,0.2,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,5.0,0.072,0.374172185430463,0.299230538569416
Perez (2008),Water,0.2,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,5.0,0.072,0.390728476821192,0.266553049833932
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,5.0,0.072,0.380794701986754,0.241896569763922
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,5.0,0.072,0.364238410596026,0.225839925462072
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,5.0,0.072,0.314569536423841,0.219393492040424
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,5.0,0.072,0.264900662251655,0.185289210942082
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,5.0,0.072,0.235099337748344,0.159958651722557
Perez (2008),Water,0.73,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,5.0,0.072,0.870860927152317,0.883816291062589
Perez (2008),Water,0.73,0.001,1000.0,Air,0.29,1.8e-05,1.224,0.038,5.0,0.072,0.788079470198675,0.805333343695998
Perez (2008),Water,0.73,0.001,1000.0,Air,0.44,1.8e-05,1.224,0.038,5.0,0.072,0.736754966887417,0.737892071293535
Perez (2008),Water,0.73,0.001,1000.0,Air,0.59,1.8e-05,1.224,0.038,5.0,0.072,0.697019867549668,0.682974948513219
Perez (2008),Water,0.73,0.001,1000.0,Air,0.73,1.8e-05,1.224,0.038,5.0,0.072,0.678807947019867,0.640184113598057
Perez (2008),Water,0.73,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,5.0,0.072,0.609271523178808,0.60131196500886
Perez (2008),Water,0.73,0.001,1000.0,Air,1.17,1.8e-05,1.224,0.038,5.0,0.072,0.596026490066225,0.541217444279741
Perez (2008),Water,0.73,0.001,1000.0,Air,1.47,1.8e-05,1.224,0.038,5.0,0.072,0.569536423841059,0.493752597140322
Perez (2008),Water,0.73,0.001,1000.0,Air,2.2,1.8e-05,1.224,0.038,5.0,0.072,0.543046357615894,0.415200936245969
Perez (2008),Water,0.73,0.001,1000.0,Air,2.93,1.8e-05,1.224,0.038,5.0,0.072,0.498344370860927,0.365781845774553
Perez (2008),Water,0.04,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.717812816330846,0.743018036149788
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.28517892700577,0.390419912478431
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.214790724812477,0.307480047478928
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.206868870401516,0.261209937033277
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.30071132222133,0.235710744323121
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.281962019740023,0.216889749575845
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.283549914927193,0.204863478402722
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.246090468908777,0.190375272566118
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.222313157992634,0.356413500872564
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.130798705405304,0.112411202587349
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.725957876723727,0.74795077301817
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.350304167099046,0.395237154267973
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.236500443475043,0.311082333101592
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.251637333354218,0.263945177492909
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.288495689579217,0.237909174555165
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.305009016346901,0.218661065414671
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.307957684844901,0.206343832226088
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.25694532824006,0.191475072196197
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.212838651444279,0.290267376028176
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.144414270302444,0.113115050816589
Perez (2008),Water,0.06,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.689318810586229,0.752687076022948
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.350315914782305,0.399976407055265
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.250076849427985,0.31464622983882
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.244853046272166,0.266659705259828
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.284432949118825,0.240094703065133
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.313146244950943,0.220424233975136
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.312067416038328,0.207818599005373
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.262404085061058,0.1925718586626
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.212819071972181,0.214455248009943
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.151175062017977,0.114199274165515
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.724593187518478,0.761615170323129
Perez (2008),Water,0.08,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.374735432383272,0.409228385376554
Perez (2008),Water,0.08,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.277202250072933,0.321661285977041
Perez (2008),Water,0.08,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.273343136122363,0.272027559025435
Perez (2008),Water,0.08,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.319691662473396,0.244427508400458
Perez (2008),Water,0.08,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.2968600400596,0.22392635424997
Perez (2008),Water,0.08,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.302534171073679,0.210751498193602
Perez (2008),Water,0.08,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.247451242219607,0.366493703592438
Perez (2008),Water,0.08,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.215579777538038,0.169732737568269
Perez (2008),Water,0.08,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.17292002373032,0.11656265908931
Perez (2008),Water,0.1,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.705601099583153,0.769883706422669
Perez (2008),Water,0.1,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.386943233236545,0.418190145657674
Perez (2008),Water,0.1,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.283982621260565,0.328529947947617
Perez (2008),Water,0.1,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.293715576840617,0.27731533598193
Perez (2008),Water,0.1,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.318350468634664,0.248710054093991
Perez (2008),Water,0.1,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.332157912358367,0.227396555222898
Perez (2008),Water,0.1,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.329683067085145,0.213662427100984
Perez (2008),Water,0.1,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.274635381280849,0.316568774591091
Perez (2008),Water,0.1,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.229152267596561,0.160583421103363
Perez (2008),Water,0.1,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.183767051272763,0.118853317288287
Perez (2008),Water,0.13,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.725965708512567,0.781200097460788
Perez (2008),Water,0.13,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.416809759975251,0.431117755489351
Perez (2008),Water,0.13,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.320637350975743,0.338568325219973
Perez (2008),Water,0.13,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.316786068814012,0.28510074364161
Perez (2008),Water,0.13,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.34822091126779,0.255041540146774
Perez (2008),Water,0.13,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.338938283545999,0.232542961110417
Perez (2008),Water,0.13,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.337820295689187,0.217988166269767
Perez (2008),Water,0.13,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.289549065178104,0.277520154354047
Perez (2008),Water,0.13,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.256277668241508,0.187293332978285
Perez (2008),Water,0.13,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.204194314512892,0.145871380219065
Perez (2008),Water,0.2,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.755804823990335,0.803477057576386
Perez (2008),Water,0.2,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,10.0,0.072,0.442570471414949,0.459088083519169
Perez (2008),Water,0.2,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,10.0,0.072,0.383048876236199,0.360829842182337
Perez (2008),Water,0.2,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,10.0,0.072,0.34526832687537,0.302613681372738
Perez (2008),Water,0.2,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,10.0,0.072,0.352279735833762,0.269398754153005
Perez (2008),Water,0.2,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,10.0,0.072,0.360659749891823,0.244283781330674
Perez (2008),Water,0.2,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,10.0,0.072,0.355506432835558,0.227896046824075
Perez (2008),Water,0.2,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,10.0,0.072,0.316717540661668,0.267836292423017
Perez (2008),Water,0.2,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,10.0,0.072,0.279422562208877,0.209256099828641
Perez (2008),Water,0.2,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,10.0,0.072,0.242194153961221,0.172707613080376
Perez (2008),Water,0.73,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,10.0,0.072,0.911851258666364,0.885213656811652
