Paper's Reference [-],Fluid 1 [-],Fluid 1 Superficial Velocity [m/s],Fluid 1 Viscosity [Pa.s],Fluid 1 Density [kg/m³],Fluid 2 [-],Fluid 2 Superficial Velocity [m/s],Fluid 2 Viscosity [Pa.s],Fluid 2 Density [kg/m³],Internal Diameter [m],Duct Inclination [°],Interfacial Tension [N/m],Liquid Volumetric Fraction [-],Model Holdup Prediction [-]
Ottens et al. (2001),Water-Glycerol,0.0377,0.002,1088.0,Air,10.94,1.8e-05,1.19,0.052,2.0,0.061,0.0298,0.102315008524463
Ottens et al. (2001),Water-Glycerol,0.0339,0.002,1088.0,Air,10.93,1.8e-05,1.19,0.052,2.0,0.061,0.0282,0.100100084804116
Perez (2008),Water,0.04,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.130331753554502,0.710130753342973
Perez (2008),Water,0.04,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.234597156398104,0.465332944988748
Perez (2008),Water,0.04,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.19431279620853,0.359540415460833
Perez (2008),Water,0.04,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.206161137440758,0.287363743661818
Perez (2008),Water,0.04,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.19431279620853,0.241241280845641
Perez (2008),Water,0.04,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.182464454976303,0.202855614518179
Perez (2008),Water,0.04,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.184834123222748,0.175479501063489
Perez (2008),Water,0.04,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.154028436018957,0.137659441247648
Perez (2008),Water,0.04,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.123222748815165,0.109597248383807
Perez (2008),Water,0.04,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.101895734597156,0.0882355212417709
Perez (2008),Water,0.05,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.372037914691943,0.746406487363535
Perez (2008),Water,0.05,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.274881516587677,0.509426704083678
Perez (2008),Water,0.05,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.218009478672985,0.401958807847183
Perez (2008),Water,0.05,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.234597156398104,0.326173818015067
Perez (2008),Water,0.05,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.225118483412322,0.276612103016731
Perez (2008),Water,0.05,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.222748815165876,0.234647250041809
Perez (2008),Water,0.05,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.213270142180094,0.204300492978461
Perez (2008),Water,0.05,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.175355450236966,0.161773271798295
Perez (2008),Water,0.05,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.14691943127962,0.129740620063947
Perez (2008),Water,0.05,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.123222748815165,0.105066458042572
Perez (2008),Water,0.06,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.419431279620853,0.773664356775635
Perez (2008),Water,0.06,0.001,1000.0,Air,0.88,1.8e-05,1.224,0.038,0.0,0.072,0.293838862559241,0.54512699377599
Perez (2008),Water,0.06,0.001,1000.0,Air,1.52,1.8e-05,1.224,0.038,0.0,0.072,0.253554502369668,0.437513690323571
Perez (2008),Water,0.06,0.001,1000.0,Air,2.28,1.8e-05,1.224,0.038,0.0,0.072,0.244075829383886,0.359540415460833
Perez (2008),Water,0.06,0.001,1000.0,Air,3.04,1.8e-05,1.224,0.038,0.0,0.072,0.251184834123222,0.307546305572192
Perez (2008),Water,0.06,0.001,1000.0,Air,3.97,1.8e-05,1.224,0.038,0.0,0.072,0.260663507109004,0.262867356255493
Perez (2008),Water,0.06,0.001,1000.0,Air,4.91,1.8e-05,1.224,0.038,0.0,0.072,0.24170616113744,0.230166773487296
Perez (2008),Water,0.06,0.001,1000.0,Air,6.89,1.8e-05,1.224,0.038,0.0,0.072,0.203791469194312,0.183761560979486
Perez (2008),Water,0.06,0.001,1000.0,Air,9.33,1.8e-05,1.224,0.038,0.0,0.072,0.161137440758293,0.148338323891708
Perez (2008),Water,0.06,0.001,1000.0,Air,12.32,1.8e-05,1.224,0.038,0.0,0.072,0.137440758293838,0.0868447740026318
Perez (2008),Water,0.08,0.001,1000.0,Air,0.15,1.8e-05,1.224,0.038,0.0,0.072,0.518957345971564,0.812216119419347
